qed,SAS,logP,src,rings,weight,csp3,hallkier,laputeASA,alicarbo,alihetero,alirings,amidebonds,arocarbo,arohetero,arorings,stereocenter,bridgehead,hba,hbd,rotatable
0.8165673,3.8475654,3.2496266,0,3,204.15141526,0.7857142857142857,-0.5900000000000001,91.93792412225727,3,0,3,0,0,0,0,5,0,1,0,1
0.78943413,3.4703183,0.9704488,0,3,212.104858992,0.8181818181818182,-0.9000000000000001,88.6078330465276,1,2,3,0,0,0,0,4,2,3,1,2
0.8152424,4.1635222,1.679755,0,5,238.120509056,0.9230769230769231,-0.6100000000000001,100.59738957503633,1,4,5,0,0,0,0,7,4,4,0,0
0.8138885,4.49388,2.5398798,0,4,216.126263132,0.5384615384615384,-1.2200000000000002,94.88135349042372,1,2,3,0,0,1,1,3,2,2,2,0
0.69364023,3.7453122,2.9675589,0,4,231.071785036,0.38461538461538464,-1.06,98.28610030858194,1,1,2,0,0,2,2,1,0,3,1,1
0.79671276,3.7583025,2.6485596,0,3,220.19394876799998,0.9285714285714286,-0.53,98.91118972386593,1,2,3,0,0,0,0,3,2,2,1,0
0.7064694,2.3287816,1.5092726,0,2,288.99630735600005,0.0,-1.95,105.59699597958539,0,0,0,0,0,2,2,0,0,5,1,0
0.7718293,4.377772,1.9141816,0,3,207.162314292,0.8461538461538461,-0.33999999999999997,91.86489583433648,2,1,3,0,0,0,0,6,2,2,1,1
0.7773104,4.6994066,2.0214162,0,5,216.089877624,0.5833333333333334,-1.29,92.84166695326816,0,4,4,0,0,1,1,5,0,4,0,0
0.7580938,4.5253158,1.7145501,0,3,175.099714036,0.7272727272727273,-0.81,78.18770058999927,2,1,3,0,0,0,0,5,0,2,0,0
0.8179523,3.300991,1.8284036,0,2,225.172878976,0.9230769230769231,-0.5700000000000001,97.82248361597354,1,1,2,1,0,0,0,3,0,2,1,5
0.7526519,3.4539528,0.85596144,0,3,221.12766009999999,0.8,-1.46,93.68381538493121,1,1,2,0,0,1,1,3,0,6,0,2
0.8112957,4.328363,2.4424534,0,4,213.1153641,0.5714285714285714,-1.3599999999999999,95.61671912901484,1,2,3,0,0,1,1,2,2,2,0,0
0.7934325,4.249197,1.787397,0,3,231.125928784,0.5,-1.5299999999999998,101.52968402514787,3,0,3,0,0,0,0,4,2,3,2,2
0.7889332,3.4094906,2.283082,0,3,232.067034004,0.5,-1.3400000000000003,98.6259022444178,1,1,2,1,0,1,1,3,0,3,0,1
0.7833055,3.7788265,1.070031,0,4,254.120132196,0.9090909090909091,-0.5900000000000001,104.75322716515988,3,0,3,0,0,1,1,4,2,6,2,2
0.7976856,4.4274535,1.6974821,0,5,231.071785036,0.5384615384615384,-0.6400000000000001,97.98741370898082,3,1,4,0,0,1,1,4,0,3,2,0
0.8065666,4.4471016,2.8378916,0,4,219.162314292,0.8571428571428571,-0.34,97.43397828179921,2,2,4,0,0,0,0,2,0,2,1,0
0.8020989,3.8376606,2.486651,0,3,253.07726434,0.6666666666666666,-0.78,104.09393364136895,1,1,2,0,0,1,1,3,2,5,0,3
0.8202893,3.0561464,1.7045858,0,3,234.136827816,0.6923076923076923,-1.16,100.74149125632077,0,2,2,0,0,1,1,2,2,3,1,0
0.80720216,4.5661902,2.6422791,0,3,217.146664228,0.5714285714285714,-0.8600000000000001,97.06060337095992,1,2,3,0,0,0,0,1,0,2,1,0
0.8049392,4.258974,2.1596625,0,3,227.105862036,0.23076923076923078,-2.1,99.28272748594203,1,1,2,0,0,1,1,1,2,4,1,0
0.7543699,4.557686,0.8962654,0,3,293.97523756400005,0.1,-1.89,104.9244502738649,0,3,3,0,0,0,0,0,0,5,2,0
0.80871403,4.211438,2.0831494,0,3,220.15756326,0.7692307692307693,-0.8300000000000001,96.60491682895906,2,1,3,0,0,0,0,3,0,3,2,1
0.7543375,3.0779595,1.8246826,0,3,253.040878832,0.36363636363636365,-1.5299999999999998,101.61809935626282,0,1,1,0,0,2,2,1,4,6,1,0
0.78822154,3.9257836,1.5876015,0,3,248.077262252,0.7,-1.2400000000000002,95.0175006922525,0,2,2,0,0,1,1,3,0,4,1,0
0.8238009,3.9531405,3.192978,0,3,237.172878976,0.9285714285714286,-0.5700000000000001,103.29093456755645,0,3,3,0,0,0,0,5,4,3,1,0
0.7484186,4.4956565,1.6410543,0,4,209.095297352,0.38461538461538464,-1.6600000000000001,94.20714068025013,1,2,3,0,0,1,1,5,0,3,0,0
0.7321604,3.8901236,2.1089056,0,3,163.136099544,0.8181818181818182,-0.30000000000000004,74.23143786263172,2,1,3,0,0,0,0,3,0,1,1,0
0.82044387,3.1503487,1.7964468,0,3,236.15247788,0.6923076923076923,-1.0,101.37102142833322,0,2,2,0,0,1,1,4,2,4,2,1
0.77805924,4.6149025,0.94117284,0,3,236.116092372,0.75,-1.3900000000000001,99.55010537854943,2,1,3,0,0,0,0,5,0,5,1,0
0.817337,3.3489208,2.5926533,0,3,289.021459484,0.3076923076923077,-1.31,108.14233276715208,0,1,1,0,0,2,2,1,0,2,2,1
0.74047303,4.0604334,2.324072,0,4,213.12659748,0.5384615384615384,-1.3800000000000001,94.66597680421549,3,0,3,0,0,1,1,3,0,2,1,1
0.76793903,4.1237426,1.5425023,0,5,231.083018416,0.5833333333333334,-1.0300000000000002,98.17299703063594,1,3,4,0,0,1,1,2,0,4,1,0
0.6538962,3.3751361,1.5689769,0,4,234.027671292,0.1,-2.5700000000000003,91.83622631799315,0,0,0,0,0,4,4,0,0,6,2,0
0.7946363,4.5640364,2.2124085,0,4,217.1215121,0.6666666666666666,-1.1600000000000001,94.10418295151001,1,2,3,0,0,1,1,5,2,3,1,1
0.81828666,4.044918,2.3020992,0,2,210.173213324,0.9166666666666666,-0.5700000000000001,92.51065336470413,0,2,2,0,0,0,0,3,0,3,0,0
0.70691264,2.8459225,3.0332718,0,4,186.104465068,0.5384615384615384,-0.98,83.80311492037133,3,0,3,0,0,1,1,2,0,1,0,2
0.7406829,3.9336772,2.0352368,0,4,215.094628656,0.38461538461538464,-1.3199999999999998,93.7554335041383,1,2,3,0,0,1,1,2,0,2,1,0
0.7948004,4.910633,2.5420866,0,5,213.12659748,0.6923076923076923,-1.12,94.55972016946583,2,2,4,0,0,1,1,6,2,3,0,0
0.74373996,4.1291013,0.5181885,0,3,236.079706864,0.5454545454545454,-1.69,96.91746248525507,0,2,2,0,0,1,1,3,2,6,1,0
0.8338251,3.3477616,2.4404511,0,2,223.19361442,0.8571428571428571,-0.34,98.91635762495146,2,0,2,0,0,0,0,5,2,2,2,1
0.79368407,3.796598,1.3494544,0,3,248.073182004,0.6363636363636364,-1.48,103.53968387805757,1,1,2,1,0,1,1,4,2,5,0,1
0.8225044,3.7809258,2.5526953,0,4,217.146664228,0.7142857142857143,-0.76,96.59600793999186,1,2,3,0,0,1,1,3,0,2,0,1
0.7606672,3.5319314,-0.0026589632,0,2,237.10010796,0.5833333333333334,-1.49,98.8132216367672,2,0,2,0,0,0,0,2,2,5,2,1
0.8294405,3.349058,3.3482738,0,3,297.036440852,0.6153846153846154,-0.6100000000000001,109.33425229590213,1,1,2,0,0,1,1,2,2,3,1,0
0.80910426,3.5045779,2.2937,0,3,235.168462292,0.8461538461538461,-0.8999999999999999,102.13740135455315,1,1,2,0,0,1,1,2,0,4,1,0
0.7985687,4.9341855,2.2936645,0,4,228.126263132,0.5,-1.51,100.79479321205325,1,3,4,0,0,0,0,3,0,3,1,0
0.78452635,4.28065,1.4762853,0,4,175.099714036,0.7272727272727273,-0.63,77.59710029574158,2,2,4,0,0,0,0,6,2,2,0,0
0.81575346,3.258675,1.2993624,0,4,220.16879663999998,0.6666666666666666,-1.32,96.40799618604512,0,3,3,0,0,1,1,2,2,3,2,0
